Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
217,Gujarat,8 B,Vanana,Km 10.755,Porbander - Bhiladi (Km 1.960 to Km 52.500),199
218,Gujarat,8,Vantada,Km 415.00,6L of Shamla ji to Motachilodha from km.401.200 to km. 494.410 of Old NH8 (PkgVI),308
219,Gujarat,15,Varahi,Km 461.720,Projects comprising of 1 National Highway Stretch on Toll Operate Transfer (TOT) Mode Tolling Operation Maintenance Transfer of PalanpurRadhanpurSamakhiyali section of NH27 from Km 536000,101
220,Gujarat,8,Vasad,Km 92.000,6 Laning of Ahmedabad Vadodara Section from km 6.400 to km 102.300,466
221,Gujarat,47,Vavadikhurd,Km 110.436,Ahmedabad Godhra (Km 4.2 Km 122.42 of NH 59),386
222,Gujarat,51,Velva Toll Plaza,212.325,40.95 Kms,6827
223,Haryana,54,Abubshahar,51.400,27.400 to 62.200,6825
224,Haryana,54,Alikan,34.000,27.400 to 62.200,6823
225,Haryana,NH 152D,Amrawali Khera,78.983 km,00.00 to 227.02km,6639
226,Haryana,52 (Old 65),Badopatti,87.000,Kaithal to Haryana Rajasthan Border,4503
227,Haryana,NH 152 D,Bahri,65.526 km,00.00 to 227.02km,6638
228,Haryana,NH 152D,Bainsi,118.400,00.00 to 227.02km,6641
229,Haryana,NH 709E,Bamla,Bhiwani,24.259,5987
